ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,BC817-25,Q1,SOT-23_L2.9-W1.3-P0.95-LS2.4-BR,1,BC817-25,AnBon,LCSC,C397188
2,100uF,C2,CAP-TH_BD6.3-P2.50-D1.0-FD,1,KSH107M025S1A5E11K,Teapo Elec,LCSC,C180985
3,MHP5050RGBDT,LED1,LED-ARRAY-SMD_6P-L5.0-W5.0-TR-RD,1,MHP5050RGBDT,MEIHUA,LCSC,C409780
4,NTC 10k,R10,R11,R13,R0603,3,NTCG164CH473JT1,TDK,LCSC,C340584
5,ARDUINO_NANO,U1,ARDUINO_NANO,1,,,,
6,100n,C1,C0201,1,,,,
7,10,R4,R1206,1,RTT065R0JTP,RALEC,LCSC,C333057
8,100,R5,R7,R1206,2,RTT065R0JTP,RALEC,LCSC,C333057
9,150,R6,R1206,1,RTT065R0JTP,RALEC,LCSC,C333057
10,10k,R8,R9,R12,R1206,3,RTT065R0JTP,RALEC,LCSC,C333057
11,220,R14,R1206,1,RTT065R0JTP,RALEC,LCSC,C333057
12,LED-0603_B,LED2,LED0603_BLUE,1,19-217/BHC-ZL1M2RY/3T,EVERLIGHT(台湾亿光),LCSC,C72041
13,1M,R1,R2,R1210,2,RTT12105JTP,RALEC,LCSC,C10952
14,dc-005 5.5-2.0,DC1,DC-IN-TH_DC005,1,-,Shenzhen Cankemeng,LCSC,C132516
15,IRL3103S,Q9,Q7,D2PAK_L9.1-W10.0-P2.54-LS15.3-BR,2,IRFS4127TRLPBF,Infineon Technologies,LCSC,C413499
16,1K,R3,R1206,1,QR1206F1KP05,Ever Ohms Tech,LCSC,C176228
17,XH-2A,CN1,CN3,CN2,CONN-TH_XH-2A,3,XH-2A,BOOMELE,LCSC,C20079
